,Author,Year,User Rating,Reviews,Name,Price,Genre
0,Abraham Verghese,2010,4.6,4866,Cutting for Stone,11.0,Fiction
1,Abraham Verghese,2011,4.6,4866,Cutting for Stone,11.0,Fiction
2,Adam Gasiewski,2017,4.4,3113,Milk and Vine: Inspirational Quotes From Classic Vines,6.0,Non Fiction
3,Adam Mansbach,2011,4.8,9568,Go the F**k to Sleep,9.0,Fiction
4,Adir Levy,2019,4.8,8170,What Should Danny Do? (The Power to Choose Series),13.0,Fiction
5,Admiral William H. McRaven,2017,4.7,10199,Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,11.0,Non Fiction
6,Adult Coloring Book Designs,2016,4.5,2313,"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns",4.0,Non Fiction
7,Alan Moore,2009,4.8,3829,Watchmen,42.0,Fiction
8,Alex Michaelides,2019,4.5,27536,The Silent Patient,14.0,Fiction
10,Allie Brosh,2013,4.7,4896,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",17.0,Non Fiction
11,American Psychiatric Association,2013,4.5,6679,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",105.0,Non Fiction
12,American Psychiatric Association,2014,4.5,6679,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",105.0,Non Fiction
13,American Psychological Association,2009,4.5,8580,"Publication Manual of the American Psychological Association, 6th Edition",46.0,Non Fiction
14,American Psychological Association,2010,4.5,8580,"Publication Manual of the American Psychological Association, 6th Edition",46.0,Non Fiction
15,American Psychological Association,2011,4.5,8580,"Publication Manual of the American Psychological Association, 6th Edition",46.0,Non Fiction
16,American Psychological Association,2012,4.5,8580,"Publication Manual of the American Psychological Association, 6th Edition",46.0,Non Fiction
17,American Psychological Association,2013,4.5,8580,"Publication Manual of the American Psychological Association, 6th Edition",46.0,Non Fiction
18,American Psychological Association,2014,4.5,8580,"Publication Manual of the American Psychological Association, 6th Edition",46.0,Non Fiction
19,American Psychological Association,2015,4.5,8580,"Publication Manual of the American Psychological Association, 6th Edition",46.0,Non Fiction
20,American Psychological Association,2016,4.5,8580,"Publication Manual of the American Psychological Association, 6th Edition",46.0,Non Fiction
21,American Psychological Association,2017,4.5,8580,"Publication Manual of the American Psychological Association, 6th Edition",46.0,Non Fiction
22,American Psychological Association,2018,4.5,8580,"Publication Manual of the American Psychological Association, 6th Edition",46.0,Non Fiction
23,Amor Towles,2017,4.7,19699,A Gentleman in Moscow: A Novel,15.0,Fiction
24,Amy Ramos,2018,4.3,13061,The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,6.0,Non Fiction
25,Amy Ramos,2019,4.3,13061,The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,6.0,Non Fiction
26,Amy Shields,2019,4.8,7866,National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books),11.0,Non Fiction
27,Andy Weir,2015,4.7,39459,The Martian,9.0,Fiction
28,Angie Grace,2015,4.6,1909,Balance (Angie's Extreme Stress Menders),11.0,Non Fiction
29,Angie Thomas,2018,4.8,9947,The Hate U Give,11.0,Fiction
30,Ann Voskamp,2011,4.6,3163,One Thousand Gifts: A Dare to Live Fully Right Where You Are,13.0,Non Fiction
31,Ann Voskamp,2012,4.6,3163,One Thousand Gifts: A Dare to Live Fully Right Where You Are,13.0,Non Fiction
32,Ann Whitford Paul,2017,4.8,16643,If Animals Kissed Good Night,4.0,Fiction
33,Ann Whitford Paul,2019,4.8,16643,If Animals Kissed Good Night,4.0,Fiction
34,Anthony Bourdain,2018,4.8,2507,Kitchen Confidential Updated Edition: Adventures in the Culinary Underbelly (P.S.),8.0,Non Fiction
35,Anthony Doerr,2014,4.6,36348,All the Light We Cannot See,14.0,Fiction
36,Anthony Doerr,2015,4.6,36348,All the Light We Cannot See,14.0,Fiction
37,Atul Gawande,2015,4.8,11113,Being Mortal: Medicine and What Matters in the End,15.0,Non Fiction
38,Audrey Niffenegger,2009,4.4,3759,The Time Traveler's Wife,6.0,Fiction
39,B. J. Novak,2014,4.8,8081,The Book with No Pictures,8.0,Fiction
40,B. J. Novak,2015,4.8,8081,The Book with No Pictures,8.0,Fiction
41,Bessel van der Kolk M.D.,2019,4.8,12361,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",12.0,Non Fiction
42,Bill Martin Jr.,2017,4.9,14344,"Brown Bear, Brown Bear, What Do You See?",5.0,Fiction
43,Bill Martin Jr.,2019,4.9,14344,"Brown Bear, Brown Bear, What Do You See?",5.0,Fiction
44,Bill O'Reilly,2011,4.7,9342,Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),10.0,Non Fiction
45,Bill O'Reilly,2012,4.6,8634,Killing Kennedy: The End of Camelot,25.0,Non Fiction
46,Bill O'Reilly,2012,4.7,9342,Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),10.0,Non Fiction
47,Bill O'Reilly,2013,4.5,11391,Killing Jesus (Bill O'Reilly's Killing Series),12.0,Non Fiction
48,Bill O'Reilly,2014,4.6,10927,Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series),6.0,Non Fiction
49,Bill O'Reilly,2015,4.6,5235,Killing Reagan: The Violent Assault That Changed a Presidency (Bill O'Reilly's Killing Series),5.0,Non Fiction
50,Bill O'Reilly,2016,4.8,8916,Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series),6.0,Non Fiction
51,Bill Simmons,2009,4.7,858,The Book of Basketball: The NBA According to The Sports Guy,53.0,Non Fiction
52,Blue Star Coloring,2015,4.4,2951,Adult Coloring Book: Stress Relieving Patterns,6.0,Non Fiction
53,Blue Star Coloring,2015,4.6,2925,Adult Coloring Book: Stress Relieving Animal Designs,6.0,Non Fiction
54,Bob Woodward,2018,4.4,6042,Fear: Trump in the White House,2.0,Non Fiction
55,Brandon Stanton,2013,4.8,3490,Humans of New York,15.0,Non Fiction
56,Brandon Stanton,2014,4.8,3490,Humans of New York,15.0,Non Fiction
57,Brandon Stanton,2015,4.9,2812,Humans of New York : Stories,17.0,Non Fiction
58,Brené Brown,2013,4.8,1329,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",10.0,Non Fiction
59,Brian Kilmeade,2013,4.6,4799,George Washington's Secret Six: The Spy Ring That Saved the American Revolution,16.0,Non Fiction
60,Bruce Springsteen,2016,4.7,3729,Born to Run,18.0,Non Fiction
61,Carol S. Dweck,2014,4.6,5542,Mindset: The New Psychology of Success,10.0,Non Fiction
62,Carol S. Dweck,2015,4.6,5542,Mindset: The New Psychology of Success,10.0,Non Fiction
63,Carol S. Dweck,2016,4.6,5542,Mindset: The New Psychology of Success,10.0,Non Fiction
64,Celeste Ng,2018,4.5,25706,Little Fires Everywhere,12.0,Fiction
65,Charlaine Harris,2009,4.6,1541,Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),4.0,Fiction
66,Charlaine Harris,2009,4.7,973,Sookie Stackhouse,25.0,Fiction
67,Charlaine Harris,2010,4.3,1924,"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",8.0,Fiction
68,Charlaine Harris,2011,4.2,2094,"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",4.0,Fiction
69,Charles Duhigg,2012,4.6,10795,The Power of Habit: Why We Do What We Do in Life and Business,21.0,Non Fiction
70,Charles Krauthammer,2013,4.7,7034,"Things That Matter: Three Decades of Passions, Pastimes and Politics [Deckled Edge]",15.0,Non Fiction
71,Cheryl Strayed,2012,4.4,17044,Wild: From Lost to Found on the Pacific Crest Trail,18.0,Non Fiction
72,Chip Gaines,2016,4.9,7861,The Magnolia Story,5.0,Non Fiction
73,Chip Heath,2010,4.6,1907,Switch: How to Change Things When Change Is Hard,13.0,Non Fiction
74,Chris Cleave,2010,4.1,1467,Little Bee: A Novel,10.0,Fiction
75,Chris Kyle,2015,4.6,15921,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,9.0,Non Fiction
76,Chrissy Teigen,2016,4.7,4761,Cravings: Recipes for All the Food You Want to Eat: A Cookbook,16.0,Non Fiction
77,Christina Baker Kline,2014,4.6,21930,Orphan Train,11.0,Fiction
78,Christopher Paolini,2011,4.6,5299,Inheritance: Book IV (Inheritance Cycle),20.0,Fiction
79,Coloring Books for Adults,2015,4.5,2426,"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley…",8.0,Non Fiction
80,Craig Smith,2018,4.8,30183,The Wonky Donkey,4.0,Fiction
81,Craig Smith,2019,4.8,30183,The Wonky Donkey,4.0,Fiction
82,Crispin Boyer,2019,4.8,5347,"National Geographic Kids Why?: Over 1,111 Answers to Everything",16.0,Non Fiction
83,DK,2014,4.5,2586,Ultimate Sticker Book: Frozen: More Than 60 Reusable Full-Color Stickers,5.0,Fiction
84,DK,2015,4.6,5360,Baby Touch and Feel: Animals,5.0,Non Fiction
85,Dale Carnegie,2014,4.7,25001,How to Win Friends & Influence People,11.0,Non Fiction
86,Dale Carnegie,2015,4.7,25001,How to Win Friends & Influence People,11.0,Non Fiction
87,Dale Carnegie,2016,4.7,25001,How to Win Friends & Influence People,11.0,Non Fiction
88,Dale Carnegie,2017,4.7,25001,How to Win Friends & Influence People,11.0,Non Fiction
89,Dale Carnegie,2018,4.7,25001,How to Win Friends & Influence People,11.0,Non Fiction
90,Dan Brown,2009,4.2,8747,The Lost Symbol,19.0,Fiction
91,Dan Brown,2013,4.1,29651,Inferno,14.0,Fiction
92,Dan Brown,2017,4.3,18904,Origin: A Novel (Robert Langdon),13.0,Fiction
93,Daniel H. Pink,2010,4.5,2525,Drive: The Surprising Truth About What Motivates Us,16.0,Non Fiction
94,Daniel James Brown,2014,4.8,23358,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,12.0,Non Fiction
95,Daniel James Brown,2015,4.8,23358,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,12.0,Non Fiction
96,Daniel Kahneman,2011,4.6,11034,"Thinking, Fast and Slow",19.0,Non Fiction
97,Daniel Kahneman,2012,4.6,11034,"Thinking, Fast and Slow",19.0,Non Fiction
98,Daniel Lipkowitz,2011,4.4,4247,The Lego Ideas Book: Unlock Your Imagination,13.0,Non Fiction
99,Daniel Lipkowitz,2012,4.4,4247,The Lego Ideas Book: Unlock Your Imagination,13.0,Non Fiction
100,Dav Pilkey,2017,4.9,4786,Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3),8.0,Fiction
101,Dav Pilkey,2018,4.9,5062,Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4),6.0,Fiction
102,Dav Pilkey,2018,4.9,5470,Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),6.0,Fiction
103,Dav Pilkey,2018,4.9,7235,Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),4.0,Fiction
104,Dav Pilkey,2019,4.9,7235,Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),4.0,Fiction
105,Dav Pilkey,2019,4.9,9089,Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),8.0,Fiction
106,Dav Pilkey,2019,4.9,12619,Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),8.0,Fiction
107,Dave Ramsey,2019,4.7,11550,The Total Money Makeover: Classic Edition: A Proven Plan for Financial Fitness,10.0,Non Fiction
108,David Goggins,2019,4.8,16244,Can't Hurt Me: Master Your Mind and Defy the Odds,18.0,Non Fiction
109,David Grann,2017,4.6,8393,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,17.0,Non Fiction
110,David McCullough,2015,4.7,6169,The Wright Brothers,16.0,Non Fiction
111,David Perlmutter MD,2014,4.6,5972,"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",10.0,Non Fiction
112,David Platt,2010,4.7,1985,Radical: Taking Back Your Faith from the American Dream,9.0,Non Fiction
113,David Platt,2011,4.7,1985,Radical: Taking Back Your Faith from the American Dream,9.0,Non Fiction
114,David Zinczenko,2009,4.3,956,"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",14.0,Non Fiction
115,David Zinczenko,2009,4.5,720,Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,1.0,Non Fiction
116,Deborah Diesen,2017,4.8,9784,The Pout-Pout Fish,5.0,Fiction
117,Deborah Diesen,2018,4.8,9784,The Pout-Pout Fish,5.0,Fiction
119,Delia Owens,2019,4.8,87841,Where the Crawdads Sing,15.0,Fiction
120,Dinah Bucholz,2019,4.7,9030,The Unofficial Harry Potter Cookbook: From Cauldron Cakes to Knickerbocker Glory--More Than 150 Magical Recipes for…,10.0,Non Fiction
121,Don Miguel Ruiz,2013,4.7,23308,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),6.0,Non Fiction
122,Don Miguel Ruiz,2015,4.7,23308,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),6.0,Non Fiction
123,Don Miguel Ruiz,2016,4.7,23308,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),6.0,Non Fiction
124,Don Miguel Ruiz,2017,4.7,23308,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),6.0,Non Fiction
125,Don Miguel Ruiz,2018,4.7,23308,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),6.0,Non Fiction
126,Don Miguel Ruiz,2019,4.7,23308,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),6.0,Non Fiction
127,Donna Tartt,2013,3.9,33844,The Goldfinch: A Novel (Pulitzer Prize for Fiction),20.0,Fiction
128,Donna Tartt,2014,3.9,33844,The Goldfinch: A Novel (Pulitzer Prize for Fiction),20.0,Fiction
129,Doug Lemov,2010,4.4,637,Teach Like a Champion: 49 Techniques that Put Students on the Path to College,20.0,Non Fiction
130,Doug Lemov,2011,4.4,637,Teach Like a Champion: 49 Techniques that Put Students on the Path to College,20.0,Non Fiction
131,Dr. Seuss,2012,4.9,21834,"Oh, the Places You'll Go!",8.0,Fiction
132,Dr. Seuss,2013,4.9,21834,"Oh, the Places You'll Go!",8.0,Fiction
133,Dr. Seuss,2014,4.9,21834,"Oh, the Places You'll Go!",8.0,Fiction
134,Dr. Seuss,2015,4.7,1873,What Pet Should I Get? (Classic Seuss),14.0,Fiction
135,Dr. Seuss,2015,4.9,21834,"Oh, the Places You'll Go!",8.0,Fiction
136,Dr. Seuss,2016,4.9,21834,"Oh, the Places You'll Go!",8.0,Fiction
137,Dr. Seuss,2017,4.9,21834,"Oh, the Places You'll Go!",8.0,Fiction
138,Dr. Seuss,2018,4.9,21834,"Oh, the Places You'll Go!",8.0,Fiction
139,Dr. Seuss,2019,4.9,21834,"Oh, the Places You'll Go!",8.0,Fiction
140,Dr. Steven R Gundry MD,2018,4.4,7058,"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain",17.0,Non Fiction
141,Dr. Steven R Gundry MD,2018,4.5,3601,"The Plant Paradox Cookbook: 100 Delicious Recipes to Help You Lose Weight, Heal Your Gut, and Live Lectin-Free",18.0,Non Fiction
142,Drew Daywalt,2013,4.8,8922,The Day the Crayons Quit,9.0,Fiction
143,Drew Daywalt,2014,4.8,8922,The Day the Crayons Quit,9.0,Fiction
144,Drew Daywalt,2015,4.8,8922,The Day the Crayons Quit,9.0,Fiction
145,E L James,2012,3.8,47265,Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),14.0,Fiction
146,E L James,2012,4.4,23631,Fifty Shades Darker,7.0,Fiction
147,E L James,2012,4.5,13964,Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),32.0,Fiction
148,E L James,2012,4.5,20262,Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition),11.0,Fiction
149,E L James,2013,3.8,47265,Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),14.0,Fiction
150,E L James,2015,4.4,25624,Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series),14.0,Fiction
151,Eben Alexander,2012,4.3,13616,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,10.0,Non Fiction
152,Eben Alexander,2013,4.3,13616,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,10.0,Non Fiction
153,Edward Klein,2012,4.6,2580,The Amateur,9.0,Non Fiction
154,Edward M. Kennedy,2009,4.5,438,True Compass: A Memoir,15.0,Non Fiction
155,Elie Wiesel,2016,4.7,5178,Night (Night),9.0,Non Fiction
156,Elizabeth Strout,2009,4.2,4519,Olive Kitteridge,12.0,Fiction
157,Emily Winfield Martin,2016,4.9,8842,The Wonderful Things You Will Be,10.0,Fiction
158,Emily Winfield Martin,2017,4.9,8842,The Wonderful Things You Will Be,10.0,Fiction
159,Emily Winfield Martin,2018,4.9,8842,The Wonderful Things You Will Be,10.0,Fiction
160,Emily Winfield Martin,2019,4.9,8842,The Wonderful Things You Will Be,10.0,Fiction
161,Eric Carle,2013,4.9,19546,The Very Hungry Caterpillar,5.0,Fiction
162,Eric Carle,2014,4.9,19546,The Very Hungry Caterpillar,5.0,Fiction
163,Eric Carle,2015,4.9,19546,The Very Hungry Caterpillar,5.0,Fiction
164,Eric Carle,2016,4.9,19546,The Very Hungry Caterpillar,5.0,Fiction
165,Eric Carle,2017,4.9,19546,The Very Hungry Caterpillar,5.0,Fiction
166,Eric Carle,2018,4.9,19546,The Very Hungry Caterpillar,5.0,Fiction
167,Eric Carle,2019,4.9,19546,The Very Hungry Caterpillar,5.0,Fiction
168,Eric Larson,2011,4.4,4571,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",21.0,Non Fiction
169,Ernest Cline,2017,4.6,22536,Ready Player One: A Novel,12.0,Fiction
170,Ernest Cline,2018,4.6,22536,Ready Player One: A Novel,12.0,Fiction
171,F. A. Hayek,2010,4.6,1204,"The Road to Serfdom: Text and Documents--The Definitive Edition (The Collected Works of F. A. Hayek, Volume 2)",14.0,Non Fiction
172,F. Scott Fitzgerald,2012,4.4,11616,The Great Gatsby,7.0,Fiction
173,F. Scott Fitzgerald,2013,4.4,11616,The Great Gatsby,7.0,Fiction
174,F. Scott Fitzgerald,2014,4.4,11616,The Great Gatsby,7.0,Fiction
